Year,Place,P (Blank or P),Governing Body,Type of Governing Body,5+,Description,Verified,Specific,Reception,Protection,Contact Through Trade,Partial Emancipation,Symbolic,Full Emancipation,Invited,Success Altering Country,Bribe Ends Expulsion,Leader Ends Expulsion,Conquer Country,Self Governing,Noted Holding IP,Brought in for Economic Growth,Laws Protecting Israel/Jews
1361,Colmar,,,,,"Colmar from 1361, in Sélestat from the end of the 14th century, and in Mulhouse from 1403, with almost the same rights as the Christian citizens",,,,,,,,,,,,,,,,,
1364,Hungary,,,,,"The church’s influence grew during the reign of Louis the Great (1342-82). In 1349, Jews were expelled from Hungary due to the Black Death. Their expulsion was decreed officially in 1360, though by 1364, they were allowed to return. In 1365, the office of “judge of the Jews” was instituted and had to deal with affairs of Jewish property and taxes, representation in the government and protection of rights. It was also in the late 1300’s that Jews settled in Gyor, a city in northwest Hungary near the Austrian border. (JVL)",,,,,,,,,,,,,,,,,
1365,"Metz, Lorraine, Germany",P,,,,,,,,,,,,,,,,,,,,,
1367,Barcelona,P,,,,,,,,,,,,,,,,,,,,,
1367,"Moldovia, Romania",,,,,"Since it was on the trade routes between Poland-Lithuania and the Ottoman Empire many Jewish merchants traveled through Moldavia, the second Romanian principality (in the northeast), founded in the middle of the 14th century. Some settled there and were favorably received by the rulers of this underpopulated principality. At the beginning of the 16th century, there were Jewish communities in several Moldavian towns, such as Jassy (Iasi), Botosani, Suceava, and Siret. More intensive waves of Jewish immigration resulted from the Chmielnicki massacres (1648–49).",,,,,,,,,,,,,,,,,
1367,Hungary,P,,,,,,,,,,,,,,,,,,,,,
1368,Toledo,P,,,,,,,,,,,,,,,,,,,,,
1370,Majorca,P,,,,,,,,,,,,,,,,,,,,,
1370,Penignon,P,,,,,,,,,,,,,,,,,,,,,
1370,"Calahorra, Spain",P,,,,,,,,,,,,,,,,,,,,,
1370,"Barcelona, Spain",P,,,,,,,,,,,,,,,,,,,,,
1370,"Brussels, Belgium",P,,,,,,,,,,,,,,,,,,,,,
1375,"Palermo, Italy",P,,,,,,,,,,,,,,,,,,,,,
1376,Hungary,P,,,,,,,,,,,,,,,,,,,,,
1377,"Teruel, Huesca, Spain",P,,,,,,,,,,,,,,,,,,,,,
1380,"Paris, France",P,,,,,,,,,,,,,,,,,,,,,
1380,Slovakia,P,,,,,,,,,,,,,,,,,,,,,
1384,"Noerdlingen/Nordlingen, Germany",P,,,,,,,,,,,,,,,,,,,,,
1385,Spain,P,,,,,,,,,,,,,,,,,,,,,
1386,"Swabian League, Strasbourg",P,,,,,,,,,,,,,,,,,,,,,
1386,"Strasbourg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1389,Yugoslavia,,,,,Jews involved in salt trade at the time of the Serbian conquest by Sultan Murad.,,,,,,,,,,,,,,,,,
1389,"Bohemia, Prague",P,,,,,,,,,,,,,,,,,,,,,
1389,Prague,P,,,,,,,,,,,,,,,,,,,,,
1391,"Seville, Spain",P,,,,,,,,,,,,,,,,,,,,,
1391,"Barcelona, Spain",P,,,,,,,,,,,,,,,,,,,,,
1391,"Palma, Spain",P,,,,,,,,,,,,,,,,,,,,,
1391,"Balearic Islands, Spain",P,,,,,,,,,,,,,,,,,,,,,
1391,"Madrid, Spain",P,,,,,,,,,,,,,,,,,,,,,
1391,"Catalonia, Spain",P,,,,,,,,,,,,,,,,,,,,,
1391,"Palermo, Italy",P,,,,,,,,,,,,,,,,,,,,,
1391,"Palatinate, Germany",P,,,,,,,,,,,,,,,,,,,,,
1391,"Cuenca, Spain",P,,,,,,,,,,,,,,,,,,,,,
1391,"Castile, Spain",P,,,,,,,,,,,,,,,,,,,,,
1391,"Toledo, Spain",P,,,,,,,,,,,,,,,,,,,,,
1391,"Ecija, Spain",P,,,,,,,,,,,,,,,,,,,,,
1391,"Palma, Majorca",P,,,,,,,,,,,,,,,,,,,,,
1391,"Aragon, Spain",P,,,,,,,,,,,,,,,,,,,,,
1391,"Carmona, Spain",P,,,,,,,,,,,,,,,,,,,,,
1391,"Valencia, Spain",P,,,,,,,,,,,,,,,,,,,,,
1391,"The Palatinate, Germany",P,,,,,,,,,,,,,,,,,,,,,
1391,Algeria,,,,,"The “refugees of 1391” had stimulated Algerian trade and brought prosperity to remote communities. They exported ostrich feathers from Mzab and African gold from Tuat, as well as burnooses, rugs, cereals, wool, and pelts to Europe, while European products were in turn sold in Africa by the same merchants. At that time, the Jews owned estates, slaves, and flocks. In the regions subject to a central power, the Jews paid the jizya, the tax levied on all non-Muslims. Their rabbis were exempted from it, as were the merchants, mainly descendants of megorashim, because they paid customs on their imports. The native Jews were thus in an inferior position. Moreover, the megorashim had a separate quarter, synagogue, and even cemetery. Their dress was also different from that of the native Jews; they continued this distinction by wearing berets or hoods. Thus, they were called ba’alei ha-kappus or kabbusiyyin, in contrast to the ba’alei ha-miẓnefet, native Jews who wore turbans.",,,,,,,,,,,,,,,,,
1392,"Berne, Switzerland",P,,,,,,,,,,,,,,,,,,,,,
1392,"Palermo, Italy",P,,,,,,,,,,,,,,,,,,,,,
1392,"Erice, Sicily, Italy",P,,,,,,,,,,,,,,,,,,,,,
1392,"Syracuse, Sicily, Italy",P,,,,,,,,,,,,,,,,,,,,,
1392,"Damascus, Syria",P,,,,,,,,,,,,,,,,,,,,,
1392,"Monte S. Giuliano, Sicily, Italy",P,,,,,,,,,,,,,,,,,,,,,
1392,"Catania, Sicily, Italy",P,,,,,,,,,,,,,,,,,,,,,
1393,"Pisa, Italy",P,,,,,,,,,,,,,,,,,,,,,
1394,"Venice, Italy",P,,,,,,,,,,,,,,,,,,,,,
1394,"Mestre, Italy",P,,,,,,,,,,,,,,,,,,,,,
1394,Germany,P,,,,,,,,,,,,,,,,,,,,,
1394,France,P,,,,,,,,,,,,,,,,,,,,,
1396,"Fermo, Italy",P,,,,,,,,,,,,,,,,,,,,,
1397,"Basel, Switzerland",P,,,,,,,,,,,,,,,,,,,,,
1397,Slovenia,P,,,,,,,,,,,,,,,,,,,,,
1397,"Florence, Italy",Christianity,Republic of Florence,Republic,Jewish moneylenders are encouraged to settle in Florence (JVL),1,1,0,1,0,0,0,0,1,0,0,,"Consolidated to a single city in Italy, Florence",,Economic ----,,,
1398,"Conegliano, Italy",,,,," Jewish moneylenders settled there before 1398. Attempts made by the municipality to expel the Jews in 1511, 1518, 1560, and 1567 were opposed by the Venetian authorities. Moneylending was prohibited to Jews in Conegliano between 1538 and 1541, and finally in 1548. ",,,,,,,,,,,,,,,,,
1399,Sélestat,,,,,"Colmar from 1361, in Sélestat from the end of the 14th century, and in Mulhouse from 1403, with almost the same rights as the Christian citizens",,,,,,,,,,,,,,,,,
1399,Prague,P,,,,,,,,,,,,,,,,,,,,,
1399,"Posen, Poland",P,,,,,,,,,,,,,,,,,,,,,
1400,"Palatinate, Germany",P,,,,,,,,,,,,,,,,,,,,,
1401,"Freiburg im Breisgau, Germany",P,,,,,,,,,,,,,,,,,,,,,
1401,Glogau,P,,,,,,,,,,,,,,,,,,,,,
1403,"Marsala, Italy",P,,,,,,,,,,,,,,,,,,,,,
1403,Mulhouse,,,,,"Colmar from 1361, in Sélestat from the end of the 14th century, and in Mulhouse from 1403, with almost the same rights as the Christian citizens",,,,,,,,,,,,,,,,,
1404,"Salzburg, Austria",P,,,,,,,,,,,,,,,,,,,,,
1404,"Hallein, Austria",P,,,,,,,,,,,,,,,,,,,,,
1405,"Speyer, Germany",P,,,,,,,,,,,,,,,,,,,,,
1406,Corfu,P,,,,,,,,,,,,,,,,,,,,,
1407,Kraków,P,,,,,,,,,,,,,,,,,,,,,
1411,"Taranto, Italy",P,,,,,,,,,,,,,,,,,,,,,
1411,"Salamanca, Spain",P,,,,,,,,,,,,,,,,,,,,,
1413,"Tortosa, Spain",P,,,,,,,,,,,,,,,,,,,,,
1413,"Polizzi, Italy",P,,,,,,,,,,,,,,,,,,,,,
1414,"Goslar, Lower Saxony, Germany",P,,,,,,,,,,,,,,,,,,,,,
1415,"Vizini, Italy",P,,,,,,,,,,,,,,,,,,,,,
1416,"Mineo, Italy",P,,,,,,,,,,,,,,,,,,,,,
1418,"Trier, Germany",P,,,,,,,,,,,,,,,,,,,,,
1418,"Boppard, Germany ",P,,,,,,,,,,,,,,,,,,,,,
1419,"Padua, Italy",P,,,,,,,,,,,,,,,,,,,,,
1420,Austria,P,,,,,,,,,,,,,,,,,,,,,
1420,"Lyons, France",P,,,,,,,,,,,,,,,,,,,,,
1421,"Vienna, Austria",P,,,,,,,,,,,,,,,,,,,,,
1421,"Regensberg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1421,Spain,P,,,,,,,,,,,,,,,,,,,,,
1422,"Rothenburg ob der Tauber, Germany",P,,,,,,,,,,,,,,,,,,,,,
1422,"Bayreuth, Germany",P,,,,,,,,,,,,,,,,,,,,,
1422,"Krems, Austria",P,,,,,,,,,,,,,,,,,,,,,
1422,"Ansbach, Germany",P,,,,,,,,,,,,,,,,,,,,,
1422,Rome,,,,,Pope Martin V issues a Bull reminding Christians that Christianity was derived from Judaism and warns the friars not to incite against the Jews. The Bull was withdrawn the following year on allegations that the Jews of Rome attained it by fraud.,,,,,,,,,,,,,,,,,
1422,"Brandenburg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1422,"Bamberg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1422,"Wurzgurg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1422,"Kulmbach, Germany",P,,,,,,,,,,,,,,,,,,,,,
1424,"Cologne, Germany",P,,,,,,,,,,,,,,,,,,,,,
1424,"Zurich, Switzerland",P,,,,,,,,,,,,,,,,,,,,,
1424,"Fribourg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1426,"Girgenti, Italy",P,,,,,,,,,,,,,,,,,,,,,
1426,Bohemia,P,,,,,,,,,,,,,,,,,,,,,
1426,Morovia,P,,,,,,,,,,,,,,,,,,,,,
1426,"Iglau, Bohemia",P,,,,,,,,,,,,,,,,,,,,,
1427,"Berne, Switzerland",P,,,,,,,,,,,,,,,,,,,,,
1427,"Lanciano, Italy",P,,,,,,,,,,,,,,,,,,,,,
1428,"Fribourg, Switzerland",P,,,,,,,,,,,,,,,,,,,,,
1429,"Mainz, Germany",P,,,,,,,,,,,,,,,,,,,,,
1429,"Jerusalem, Palestine",P,,,,,,,,,,,,,,,,,,,,,
1430,"Dresden, Saxony, Germany",P,,,,,,,,,,,,,,,,,,,,,
1430,"Palermo, Italy",P,,,,,,,,,,,,,,,,,,,,,
1430,"Piedmont, Savoy, Italy",P,,,,,,,,,,,,,,,,,,,,,
1430,"Aix-en-Provence, France",P,,,,,,,,,,,,,,,,,,,,,
1430,"Lindau, Germany",P,,,,,,,,,,,,,,,,,,,,,
1431,"Pesaro, Italy",P,,,,,,,,,,,,,,,,,,,,,
1431,Southern Germany,P,,,,,,,,,,,,,,,,,,,,,
1432,"Savoy, Germany",P,,,,,,,,,,,,,,,,,,,,,
1434,"Basel, Switzerland",P,,,,,,,,,,,,,,,,,,,,,
1435,"Speyer, Germany",P,,,,,,,,,,,,,,,,,,,,,
1435,Majorca,P,,,,,,,,,,,,,,,,,,,,,
1436,"Zurich, Switzerland",P,,,,,,,,,,,,,,,,,,,,,
1437,"Florence, Italy",,,,,"Cosimo de Medici, the Elder, grants the first formal charter to the Jews of Florence for moneylending|                                                         Cosimo de Medici, the Elder, grants the first formal charter to the Jews of Florence for moneylending (JVL)        ",,,,,,,,,,,,,,,,,
1438,"Mainz, Germany",P,,,,,,,,,,,,,,,,,,,,,
1438,Morocco,P,,,,,,,,,,,,,,,,,,,,,
1438,"Bavaria, Germany",P,,,,,,,,,,,,,,,,,,,,,
1438,"Augsburg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1438,"Düsseldorf, Germany",P,,,,,,,,,,,,,,,,,,,,,
1439,Norway,P,,,,,,,,,,,,,,,,,,,,,
1440,Present day Austria,P,,,,,,,,,,,,,,,,,,,,,
1440,Austria,,,,,"Under *Frederick III (1440–93) the position improved; with papal consent he gave protection to Jewish refugees and permitted them to settle in *Styria and *Carinthia. Yeshivot were again established, and under the direction of Israel *Isserlein, the yeshivah in Wiener Neustadt provided guidance for distant communities.",,,,,,,,,,,,,,,,,
1440,Poland,,,,,"1440 Poland|https://www.jewishencyclopedia.com/articles/4099-casimir-iv-jagellon|, the most liberal in Europe, revoked in 1454 at the insistence of Bishop Zbigniew. | JVL confirms",,,,,,,,,,,,,,,,,
1442,"Bamberg, Upper Baveria, Germany",P,,,,,,,,,,,,,,,,,,,,,
1442,"Florence, Italy",P,,,,,,,,,,,,,,,,,,,,,
1442,"The Papal States, Italy",P,,,,,,,,,,,,,,,,,,,,,
1442,"Glogau, Poland",P,,,,,,,,,,,,,,,,,,,,,
1442,"San Marino, Italy",P,,,,,,,,,,,,,,,,,,,,,
1444,"Utrecht, Netherlands",P,,,,,,,,,,,,,,,,,,,,,
1444,"Giessen, Germany",P,,,,,,,,,,,,,,,,,,,,,
1444,Inner Austria,P,,,,,,,,,,,,,,,,,,,,,
1445,"Mainz, Germany",,,,,"In 1438, Mainz Jews left the city after a dispute with the council (they may, in fact, have been expelled); the synagogue and cemetery were confiscated, and the tombstones were utilized for building. In 1445, they were readmitted, only to be expelled in 1462; permitted to return in 1473, they were finally forced to leave the city ten years later. The synagogue was converted into a chapel.",,,,,,,,,,,,,,,,,
1446,"Brandenburg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1446,"Berlin, Germany",P,,,,,,,,,,,,,,,,,,,,,
1446,"Bavaria, Germany",P,,,,,,,,,,,,,,,,,,,,,
1447,Poland,,,,,Casimir IV renews all the rights of Jews of Poland and makes his charter one of the most liberal in Europe. He revokes it in 1454 at the insistence of Bishop Zbigniew.,,,,,,,,,,,,,,,,,
1449,"Lisbon, Portugal",,,,,"Jews Massacred/Self-deported (C. Roth, ‘A History of The Marranos’, p. 54).| favors shown to the Jews and the luxury displayed by them, which even the king with all his gentleness reproved, increased the hatred of the people more and more. In 1449 for the first time in Portugal this feeling broke out in a revolt against the Jews of Lisbon; the Juderia was stormed, and several Jews were killed. The king intervened, and imposed strict penalties on the ringleaders, but the complaints against the Jews continued. At the assemblies of the Cortes in Santarem (1451), Lisbon (1455), Coimbra (1473), and Evora (1481) restrictions were demanded. ""When D. Affonso died,"" says Isaac Abravanel, ""all Israel was filled with grief and mourning; the people fasted and wept.""",1,,,,,,,,,,,1,,,,,
1449,"Toledo, Spain",P,,,,,,,,,,,,,,,,,,,,,
1449,Ciudad Real,P,,,,,,,,,,,,,,,,,,,,,
1449,"Lisbon, Portugal",P,,,,,,,,,,,,,,,,,,,,,
1450,"Lower Bavaria, Germany",P,,,,,,,,,,,,,,,,,,,,,
1450,Teruel,,,,,"Various privileges and facilities were granted by the king to the Jews of Teruel during the 1450s, especially in 1457 when together with the other communities of Aragon they were exempted from taxes and services.",,,,,,,,,,,,,,,,,
1451,"Messina, Italy",P,,,,,,,,,,,,,,,,,,,,,
1452,"Lombarty, Italy",P,,,,,,,,,,,,,,,,,,,,,
1452,"Cuneo, Italy",P,,,,,,,,,,,,,,,,,,,,,
1453,"Padua, Italy",P,,,,,,,,,,,,,,,,,,,,,
1453,"Vicenza, Italy",,,,,Jews Expelled unsuccessfully (https://www.jewishvirtuallibrary.org/vicenza).,,,,,,,,,,,,,,,,,
1453,"Silesia, Germany",P,,,,,,,,,,,,,,,,,,,,,
1453,"Marsala, Italy",P,,,,,,,,,,,,,,,,,,,,,
1453,"Vicenza, Italy",P,,,,,,,,,,,,,,,,,,,,,
1453,"Schweidnitz-Jauer, Germany",P,,,,,,,,,,,,,,,,,,,,,
1453,"Breslau, Germany (ie Wroclaw, Poland)",P,,,,,,,,,,,,,,,,,,,,,
1453,"Franconia, Germany",P,,,,,,,,,,,,,,,,,,,,,
1453,"Liegnitz-Brieg, Poland",P,,,,,,,,,,,,,,,,,,,,,
1453,"Constantinople, Byzantine Empire",P,,,,,,,,,,,,,,,,,,,,,
1453,France,P,,,,,,,,,,,,,,,,,,,,,
1454,"Piedmont, Italy",P,,,,,,,,,,,,,,,,,,,,,
1454,"Aix-en-Provence, France",,,,,"By letters patent of Sept. 25, 1435, Jews were prohibited from practicing brokerage, and were obliged to wear the Jewish *badge. These restrictions followed the anti-Jewish riots, which had taken place in 1430, when nine Jews were killed, many were injured and 74 were forcefully baptized. A general amnesty was subsequently granted to the inhabitants of Aix. The position of the Jews in Aix was ameliorated when, in 1454 King René of Anjou allowed them to employ Christian servants, reduced the size of the badge, and exempted Jews from wearing it while traveling.",,,,,,,,,,,,,,,,,
1454,Poland,P,,,,,,,,,,,,,,,,,,,,,
1454,"Genoa, Italy",P,,,,,,,,,,,,,,,,,,,,,
1454,"Wurzburg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1455,"Rome, Italy",P,,,,,,,,,,,,,,,,,,,,,
1456,"Marsala, Italy",P,,,,,,,,,,,,,,,,,,,,,
1456,"Taormina, Italy",P,,,,,,,,,,,,,,,,,,,,,
1456,"Polizzi, Italy",P,,,,,,,,,,,,,,,,,,,,,
1456,Croatia,P,,,,,,,,,,,,,,,,,,,,,
1456,Slavonia,P,,,,,,,,,,,,,,,,,,,,,
1456,"Bavaria, Germany",P,,,,,,,,,,,,,,,,,,,,,
1456,Roman Empire,P,,,,,,,,,,,,,,,,,,,,,
1457,"Hildesheim, Germany",P,,,,,,,,,,,,,,,,,,,,,
1458,"Calabria, Italy",P,,,,,,,,,,,,,,,,,,,,,
1458,"Erfurt, Germany",P,,,,,,,,,,,,,,,,,,,,,
1460,"Gottingen, Germany",P,,,,,,,,,,,,,,,,,,,,,
1460,Bohemia,P,,,,,,,,,,,,,,,,,,,,,
1460,"Mainz, Germany",P,,,,,,,,,,,,,,,,,,,,,
1460,"Faenza, Italy",P,,,,,,,,,,,,,,,,,,,,,
1461,"Julich, Germany",P,,,,,,,,,,,,,,,,,,,,,
1461,"Berg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1462,"Mainz, Germany",P,,,,,,,,,,,,,,,,,,,,,
1462,Italy,P,,,,,,,,,,,,,,,,,,,,,
1463,"Lecce, Italy",P,,,,,,,,,,,,,,,,,,,,,
1463,"Acri, Italy",P,,,,,,,,,,,,,,,,,,,,,
1463,"Bari, Italy",P,,,,,,,,,,,,,,,,,,,,,
1463,"Calabria, Italy",P,,,,,,,,,,,,,,,,,,,,,
1463,Roman Empire,P,,,,,,,,,,,,,,,,,,,,,
1464,Italy,,,,,"Lorenzo Il Magnifico, becomes the protector of Florentine Jews, supporting Jewish scholarship, Talmudic studies and medicine, and guaranteeing favorable living conditions to the Jewish community. Oversees the ""Golden Age of Florence,"" in which there is much interaction between Christians and Jews. Chair of Hebrew established at the University of Bologna; revival of Hebrew study for theological considerations and secular interest in antiquity become characteristics of the Italian Renaissance (JVL)",,,,,,,,,,,,,,,,,
1465,"Fez, Morocco",P,,,,,,,,,,,,,,,,,,,,,
1465,"Krakow, Poland",P,,,,,,,,,,,,,,,,,,,,,
1466,"Arnstadt, Germany",P,,,,,,,,,,,,,,,,,,,,,
1466,"Sicily, Italy",P,,,,,,,,,,,,,,,,,,,,,
1467,Algeria,P,,,,,,,,,,,,,,,,,,,,,
1468,Egypt,P,,,,,,,,,,,,,,,,,,,,,
1468,Posen,P,,,,,,,,,,,,,,,,,,,,,
1468,"Gaeta, Naples",P,,,,,,,,,,,,,,,,,,,,,
1469,"Sicily, Italy",P,,,,,,,,,,,,,,,,,,,,,
1470,"Florence, Italy",P,,,,,,,,,,,,,,,,,,,,,
1470,"Baden, Germany",P,,,,,,,,,,,,,,,,,,,,,
1470,"Bavaria, Bulgaria",P,,,,,,,,,,,,,,,,,,,,,
1471,Italy,,,,,"Secularization of papacy leaves Jews in central and northern Italy free of persecution. Protection of Jewish life, property and business affairs also guaranteed",,,,,,,,,,,,,,,,,
1472,"Schaffhausen, Switzerland",P,,,,,,,,,,,,,,,,,,,,,
1473,"Italy; Calabria, Italy; Pieva da Sace, Italy; Mantua, Italy; Naples, Italy",,,,,First two Hebrew presses established in Calabria and Pieva da Saca. Others founded in Mantua and Naples (JVL),,,,,,,,,,,,,,,,,
1473,"Trapani, Italy",P,,,,,,,,,,,,,,,,,,,,,
1473,"Andalusia, Spain",P,,,,,,,,,,,,,,,,,,,,,
1473,"Valladolid, Spain",P,,,,,,,,,,,,,,,,,,,,,
1473,"Ciudad Real, Spain",P,,,,,,,,,,,,,,,,,,,,,
1473,"Cordoba, Spain",P,,,,,,,,,,,,,,,,,,,,,
1473,"Jaen, Spain",P,,,,,,,,,,,,,,,,,,,,,
1474,"Modica, Italy",P,,,,,,,,,,,,,,,,,,,,,
1474,"Termini, Italy",P,,,,,,,,,,,,,,,,,,,,,
1474,"Segovia, Spain",P,,,,,,,,,,,,,,,,,,,,,
1474,"Sciacca, Italy",P,,,,,,,,,,,,,,,,,,,,,
1474,"Mainz, Germany",P,,,,,,,,,,,,,,,,,,,,,
1474,"Palermo, Italy",P,,,,,,,,,,,,,,,,,,,,,
1475,"Trent, Italy (at time Trent Holy Roman Empire)",P,,,,,,,,,,,,,,,,,,,,,
1475,"Tirol, Germany",P,,,,,,,,,,,,,,,,,,,,,
1475,"Bamberg, Austria",P,,,,,,,,,,,,,,,,,,,,,
1475,"Messina, Italy",P,,,,,,,,,,,,,,,,,,,,,
1475,"Palermo, Italy",P,,,,,,,,,,,,,,,,,,,,,
1475,"Naro, Italy",P,,,,,,,,,,,,,,,,,,,,,
1475,"Sciassa, Italy",P,,,,,,,,,,,,,,,,,,,,,
1475,"Monte S. Giuliano, Italy",P,,,,,,,,,,,,,,,,,,,,,
1475,"Noto, Italy",P,,,,,,,,,,,,,,,,,,,,,
1475,"Castrogiovanni, Italy",P,,,,,,,,,,,,,,,,,,,,,
1476,"Agosta, Italy",P,,,,,,,,,,,,,,,,,,,,,
1476,"Caltagirone, Italy",P,,,,,,,,,,,,,,,,,,,,,
1476,"Berg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1477,"Lorraine, France",P,,,,,,,,,,,,,,,,,,,,,
1477,"Tubingen, Germany",P,,,,,,,,,,,,,,,,,,,,,
1478,"Passau, Bavaria, Germany",P,,,,,,,,,,,,,,,,,,,,,
1478,"Bamberg, Upper Bavaria, Germany",P,,,,,,,,,,,,,,,,,,,,,
1478,"Venice, Italy",P,,,,,,,,,,,,,,,,,,,,,
1478,"Styria, Germany",P,,,,,,,,,,,,,,,,,,,,,
1478,Mantua - Italy,P,,,,,,,,,,,,,,,,,,,,,
1478,"Brescia, Italy",P,,,,,,,,,,,,,,,,,,,,,
1478,"Reggio, Italy",P,,,,,,,,,,,,,,,,,,,,,
1479,"Strasbourg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1479,"Helmstadt, Germany",P,,,,,,,,,,,,,,,,,,,,,
1479,"Portobuffole, Treviso, Italy",P,,,,,,,,,,,,,,,,,,,,,
1479,"Bergamo, Italy",P,,,,,,,,,,,,,,,,,,,,,
1479,"Arena, Italy",P,,,,,,,,,,,,,,,,,,,,,
1479,"Milan, Italy",P,,,,,,,,,,,,,,,,,,,,,
1479,"Pavia, Italy",P,,,,,,,,,,,,,,,,,,,,,
1480,"Cologne, Germany",P,,,,,,,,,,,,,,,,,,,,,
1480,"Brescia, Italy",P,,,,,,,,,,,,,,,,,,,,,
1480,Italy; Constantinople; Salonika,,,,,Soncino family begins establishing Hebrew presses throughout Italy and in Constantinople and Salonika,,,,,,,,,,,,,,,,,
1480,Venice,P,,,,,,,,,,,,,,,,,,,,,
1481,"Seville, Spain",P,,,,,,,,,,,,,,,,,,,,,
1483,"Sicily, Italy",P,,,,,,,,,,,,,,,,,,,,,
1483,Lithuania,P,,,,,,,,,,,,,,,,,,,,,
1483,Portugal,P,,,,,,,,,,,,,,,,,,,,,
1483,"Warsaw, Poland",P,,,,,,,,,,,,,,,,,,,,,
1483,"Andalusia, Spain",P,,,,,,,,,,,,,,,,,,,,,
1483,"Seville, Spain",P,,,,,,,,,,,,,,,,,,,,,
1483,"Cordova, Spain",P,,,,,,,,,,,,,,,,,,,,,
1483,"Mainz, Germany",P,,,,,,,,,,,,,,,,,,,,,
1484,Arles,P,,,,,,,,,,,,,,,,,,,,,
1484,Cuidad Real,P,,,,,,,,,,,,,,,,,,,,,
1484,Saragossa,P,,,,,,,,,,,,,,,,,,,,,
1484,"Teruel, Aragon, Spain",P,,,,,,,,,,,,,,,,,,,,,
1484,"Katzeneln-bogen, Germany",P,,,,,,,,,,,,,,,,,,,,,
1484,"Hesse, Germany",P,,,,,,,,,,,,,,,,,,,,,
1484,Guadalupe,P,,,,,,,,,,,,,,,,,,,,,
1484,"Albarracín, Spain",P,,,,,,,,,,,,,,,,,,,,,
1485,"Perugia, Italy",P,,,,,,,,,,,,,,,,,,,,,
1485,"Bamberg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1485,"Helmstadt, Germany",P,,,,,,,,,,,,,,,,,,,,,
1485,"Verona, Italy",P,,,,,,,,,,,,,,,,,,,,,
1485,"Viadana, Italy",P,,,,,,,,,,,,,,,,,,,,,
1485,"Vincenza, Italy; Vicenza, Italy",P,,,,,,,,,,,,,,,,,,,,,
1486,"Gubbio, Italy",P,,,,,,,,,,,,,,,,,,,,,
1486,"Syracuse, Italy",P,,,,,,,,,,,,,,,,,,,,,
1486,"Albarracin, Spain",P,,,,,,,,,,,,,,,,,,,,,
1486,"Caltagirone, Italy",P,,,,,,,,,,,,,,,,,,,,,
1486,"Sciatta, Italy",P,,,,,,,,,,,,,,,,,,,,,
1486,"Malta, Italy",P,,,,,,,,,,,,,,,,,,,,,
1486,"Saragossa, Spain",P,,,,,,,,,,,,,,,,,,,,,
1486,"Toledo, Spain",P,,,,,,,,,,,,,,,,,,,,,
1487,"Valmaseda, Spain",P,,,,,,,,,,,,,,,,,,,,,
1487,"Taormina, Italy",P,,,,,,,,,,,,,,,,,,,,,
1487,"Corleone, Italy",P,,,,,,,,,,,,,,,,,,,,,
1487,Eastern Orthodoxy of Muscovy,P,,,,,,,,,,,,,,,,,,,,,
1488,Toledo,P,,,,,,,,,,,,,,,,,,,,,
1488,"Florence, Italy",,,,,"Jews Expelled; immediately recalled because of a Jewish bribe to Lorenzo de’Medici (C. Roth, ‘The History of the Jews of Italy’, p. 175).|In 1489, under Ludovico il Moro, the Jews were expelled from the entire Duchy. They were soon readmitted, except to Milan itself where a Jew could only stay for three days. (JVL)",1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1488,"Oettingem, Germany",P,,,,,,,,,,,,,,,,,,,,,
1488,"Bayreuth, Germany",P,,,,,,,,,,,,,,,,,,,,,
1488,"Florence, Italy",P,,,,,,,,,,,,,,,,,,,,,
1489,"Brandenburg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1489,"Forli, Italy",P,,,,,,,,,,,,,,,,,,,,,
1489,"Provence, France",P,,,,,,,,,,,,,,,,,,,,,
1489,"Milan, Italy",P,,,,,,,,,,,,,,,,,,,,,
1490,"Castroreale, Italy",P,,,,,,,,,,,,,,,,,,,,,
1490,"Rheinau, Switzerland",P,,,,,,,,,,,,,,,,,,,,,
1490,"Santa Lucia, Italy",P,,,,,,,,,,,,,,,,,,,,,
1490,"Toledo, Spain",P,,,,,,,,,,,,,,,,,,,,,
1490,"Geneva, Switzerland",P,,,,,,,,,,,,,,,,,,,,,
1491,"La Guardia, Spain",P,,,,,,,,,,,,,,,,,,,,,
1491,"Provence, France",P,,,,,,,,,,,,,,,,,,,,,
1491,Astorga,P,,,,,,,,,,,,,,,,,,,,,
1491,"Ravenna, Italy",P,,,,,,,,,,,,,,,,,,,,,
1491,"Castiglione, Italy",P,,,,,,,,,,,,,,,,,,,,,
1491,"Thurgau, Switzerland",P,,,,,,,,,,,,,,,,,,,,,
